Camera,Species,Date,Time,Hour
BK1,SYLAUD,2/11/21,20:42:18,20
BK1,SYLAUD,2/11/21,20:57:35,20
BK1,SYLAUD,2/11/21,21:26:19,21
BK1,SYLAUD,2/12/21,0:15:29,0
BK1,SYLAUD,2/12/21,2:20:36,2
BK1,SYLAUD,2/12/21,2:55:32,2
BK1,SYLAUD,2/12/21,3:14:03,3
BK1,SYLAUD,2/12/21,5:01:29,5
BK1,SYLAUD,2/12/21,5:13:31,5
BK1,CANLAT,2/12/21,5:16:25,5
BK1,CANLAT,2/12/21,5:16:47,5
BK1,SYLAUD,2/12/21,5:58:50,5
BK1,SYLAUD,2/12/21,5:59:00,5
BK1,SYLAUD,2/12/21,6:01:14,6
BK1,SYLAUD,2/12/21,20:53:12,20
BK1,SYLAUD,2/12/21,21:26:30,21
BK1,SYLAUD,2/13/21,18:26:31,18
BK1,SYLAUD,2/13/21,18:26:48,18
BK1,SYLAUD,2/13/21,18:27:56,18
BK1,SYLAUD,2/13/21,18:53:24,18
BK1,SYLAUD,2/13/21,19:16:57,19
BK1,SYLAUD,2/13/21,22:26:45,22
BK1,CANLAT,2/13/21,23:22:13,23
BK1,CANLAT,2/13/21,23:22:24,23
BK1,CANLAT,2/13/21,23:24:33,23
BK1,SYLAUD,2/14/21,0:50:49,0
BK1,SYLAUD,2/14/21,2:30:05,2
BK1,SYLAUD,2/14/21,2:57:14,2
BK1,SYLAUD,2/14/21,2:58:21,2
BK1,SYLAUD,2/14/21,2:58:31,2
BK1,SYLAUD,2/14/21,2:58:41,2
BK1,SYLAUD,2/14/21,4:18:55,4
BK1,SYLAUD,2/14/21,4:19:21,4
BK1,SYLAUD,2/14/21,4:20:15,4
BK1,SYLAUD,2/14/21,4:20:42,4
BK1,SYLAUD,2/14/21,5:13:03,5
BK1,SYLAUD,2/14/21,5:39:18,5
BK1,SYLAUD,2/14/21,6:15:24,6
BK1,SYLAUD,2/14/21,18:51:22,18
BK1,SYLAUD,2/14/21,18:51:32,18
BK1,SYLAUD,2/14/21,18:51:42,18
BK1,SYLAUD,2/14/21,18:55:41,18
BK1,SYLAUD,2/14/21,19:15:53,19
BK1,SYLAUD,2/14/21,19:33:14,19
BK1,SYLAUD,2/14/21,19:33:34,19
BK1,SYLAUD,2/14/21,19:36:33,19
BK1,SYLAUD,2/14/21,19:36:45,19
BK1,SYLAUD,2/14/21,20:00:51,20
BK1,CANLAT,2/14/21,20:16:21,20
BK1,SYLAUD,2/14/21,20:20:16,20
BK1,SYLAUD,2/14/21,20:23:16,20
BK1,SYLAUD,2/14/21,20:55:36,20
BK1,SYLAUD,2/14/21,22:43:31,22
BK1,SYLAUD,2/14/21,22:43:51,22
BK1,SYLAUD,2/14/21,22:44:25,22
BK1,SYLAUD,2/14/21,23:34:57,23
BK1,SYLAUD,2/14/21,23:35:07,23
BK1,SYLAUD,2/14/21,23:39:34,23
BK1,SYLAUD,2/14/21,23:56:28,23
BK1,COLUMB,2/15/21,18:02:37,18
BK1,SYLAUD,2/15/21,18:10:48,18
BK1,SYLAUD,2/15/21,18:12:48,18
BK1,SYLAUD,2/15/21,19:33:25,19
BK1,SYLAUD,2/15/21,21:09:14,21
BK1,SYLAUD,2/15/21,23:27:12,23
BK1,SYLAUD,2/15/21,23:27:27,23
BK1,SYLAUD,2/15/21,23:32:27,23
BK1,SYLAUD,2/15/21,23:56:23,23
BK1,SYLAUD,2/15/21,0:44:46,0
BK1,SYLAUD,2/15/21,1:41:01,1
BK1,SYLAUD,2/15/21,1:41:11,1
BK1,SYLAUD,2/15/21,2:15:24,2
BK1,SYLAUD,2/15/21,2:20:18,2
BK1,SYLAUD,2/15/21,2:36:40,2
BK1,SYLAUD,2/15/21,2:45:40,2
BK1,SYLAUD,2/15/21,3:15:06,3
BK1,SYLAUD,2/15/21,3:19:06,3
BK1,SYLAUD,2/15/21,4:03:24,4
BK1,SYLAUD,2/15/21,4:03:42,4
BK1,SYLAUD,2/15/21,4:53:42,4
BK1,SYLAUD,2/15/21,4:55:42,4
BK1,SYLAUD,2/15/21,4:57:06,4
BK1,CANLAT,2/15/21,5:06:35,5
BK1,SYLAUD,2/15/21,5:31:09,5
BK1,SYLAUD,2/16/21,0:53:56,0
BK1,SYLAUD,2/16/21,0:54:06,0
BK1,SYLAUD,2/16/21,0:55:19,0
BK1,SYLAUD,2/16/21,0:55:29,0
BK1,SYLAUD,2/16/21,1:43:39,1
BK1,SYLAUD,2/16/21,3:51:36,3
BK1,SYLAUD,2/16/21,4:27:54,4
BK1,SYLAUD,2/16/21,4:28:18,4
BK1,SYLAUD,2/16/21,5:02:34,5
BK1,SYLAUD,2/16/21,5:02:54,5
BK1,SYLAUD,2/16/21,5:23:49,5
BK1,SYLAUD,2/16/21,5:24:00,5
BK1,SYLAUD,2/16/21,5:46:31,5
BK1,SYLAUD,2/16/21,5:46:49,5
BK1,SYLAUD,2/16/21,18:08:11,18
BK1,SYLAUD,2/16/21,18:08:32,18
BK1,SYLAUD,2/16/21,19:00:12,19
BK1,SYLAUD,2/16/21,19:00:32,19
BK1,SYLAUD,2/16/21,19:27:28,19
BK1,SYLAUD,2/16/21,19:28:10,19
BK1,SYLAUD,2/16/21,19:54:10,19
BK1,SYLAUD,2/16/21,22:31:42,22
BK1,SYLAUD,2/16/21,22:31:53,22
BK1,SYLAUD,2/16/21,22:34:43,22
BK1,SYLAUD,2/16/21,22:55:03,22
BK1,SYLAUD,2/16/21,23:06:35,23
BK1,SYLAUD,2/16/21,23:06:51,23
BK1,SYLAUD,2/16/21,23:30:56,23
BK1,SYLAUD,2/16/21,23:48:30,23
BK1,SYLAUD,2/16/21,23:59:18,23
BK1,SYLAUD,2/16/21,23:59:29,23
BK1,SYLAUD,2/16/21,23:59:39,23
BK1,SYLAUD,2/17/21,0:55:00,0
BK1,SYLAUD,2/17/21,0:55:22,0
BK1,SYLAUD,2/17/21,1:25:49,1
BK1,SYLAUD,2/17/21,1:46:09,1
BK1,SYLAUD,2/17/21,1:46:52,1
BK1,SYLAUD,2/17/21,1:58:54,1
BK1,SYLAUD,2/17/21,1:59:37,1
BK1,SYLAUD,2/17/21,2:08:37,2
BK1,SYLAUD,2/17/21,2:09:20,2
BK1,SYLAUD,2/17/21,2:09:32,2
BK1,SYLAUD,2/17/21,2:20:12,2
BK1,SYLAUD,2/17/21,4:10:02,4
BK1,SYLAUD,2/17/21,4:10:06,4
BK1,SYLAUD,2/17/21,5:05:39,5
BK1,SYLAUD,2/17/21,18:58:44,18
BK1,SYLAUD,2/17/21,19:10:01,19
BK1,SYLAUD,2/17/21,19:31:59,19
BK1,SYLAUD,2/17/21,19:50:03,19
BK1,SYLAUD,2/17/21,19:50:13,19
BK1,SYLAUD,2/17/21,19:50:25,19
BK1,SYLAUD,2/17/21,19:54:25,19
BK1,SYLAUD,2/17/21,19:54:38,19
BK1,SYLAUD,2/17/21,20:09:21,20
BK1,SYLAUD,2/17/21,20:10:04,20
BK1,SYLAUD,2/17/21,20:22:58,20
BK1,SYLAUD,2/17/21,21:26:13,21
BK1,SYLAUD,2/17/21,21:36:25,21
BK1,SYLAUD,2/18/21,1:08:04,1
BK1,SYLAUD,2/18/21,2:38:35,2
BK1,SYLAUD,2/18/21,2:38:58,2
BK1,SYLAUD,2/18/21,4:57:41,4
BK1,SYLAUD,2/18/21,5:05:39,5
BK1,SYLAUD,2/18/21,5:45:37,5
BK1,CANLAT,2/18/21,7:44:45,7
BK1,SYLAUD,3/4/21,18:33:41,18
BK1,SYLAUD,3/4/21,18:42:03,18
BK1,SYLAUD,3/4/21,20:23:31,20
BK1,SYLAUD,3/4/21,20:29:19,20
BK1,SYLAUD,3/4/21,20:50:36,20
BK1,SYLAUD,3/4/21,20:52:11,20
BK1,SYLAUD,3/4/21,20:53:17,20
BK1,SYLAUD,3/5/21,18:42:39,18
BK1,SYLAUD,3/5/21,18:43:50,18
BK1,SYLAUD,3/5/21,19:57:26,19
BK1,SYLAUD,3/5/21,20:08:52,20
BK1,SYLAUD,3/5/21,20:17:27,20
BK1,SYLAUD,3/5/21,23:11:54,23
BK1,ZENMAC,3/6/21,15:02:41,15
BK1,SAYNIG,3/6/21,15:57:04,15
BK1,SYLAUD,3/6/21,18:35:12,18
BK1,SYLAUD,3/6/21,18:40:15,18
BK1,SYLAUD,3/6/21,18:41:40,18
BK1,SYLAUD,3/6/21,18:44:02,18
BK1,SYLAUD,3/6/21,18:45:25,18
BK1,SYLAUD,3/6/21,18:46:36,18
BK1,SYLAUD,3/6/21,19:16:26,19
BK1,SYLAUD,3/7/21,19:48:20,19
BK1,SYLAUD,3/7/21,19:07:04,19
BK1,SYLAUD,3/7/21,19:30:55,19
BK1,SYLAUD,3/7/21,20:23:55,20
BK1,SYLAUD,3/7/21,21:16:25,21
BK1,CHAVOC,3/7/21,22:02:13,22
BK1,SYLAUD,3/7/21,22:38:44,22
BK1,SYLAUD,3/7/21,23:00:33,23
BK1,CHAVOC,3/8/21,0:55:20,0
BK1,SYLAUD,3/8/21,1:53:57,1
BK1,SYLAUD,3/8/21,2:21:53,2
BK1,CHAVOC,3/8/21,2:23:31,2
BK1,CHAVOC,3/8/21,2:32:43,2
BK1,CHAVOC,3/8/21,2:33:42,2
BK1,CHAVOC,3/8/21,3:04:11,3
BK1,SYLAUD,3/8/21,3:09:12,3
BK1,CHAVOC,3/8/21,3:11:17,3
BK1,CHAVOC,3/8/21,3:12:20,3
BK1,CHAVOC,3/8/21,3:13:38,3
BK1,CHAVOC,3/8/21,3:48:28,3
BK1,SYLAUD,3/8/21,3:48:28,3
BK1,CHAVOC,3/8/21,4:12:45,4
BK1,CHAVOC,3/8/21,4:47:13,4
