Food_source,Percent_mass
Bone,51.68
Bone,63.47
Bone,57.97
Bone,53.98
Bone,66.2
Bone,71.24
Bone,37.67
Bone,48.91
Bone,0
Bone,38.1
Bone,35.54
Bone,43.08
Bone,41.1
Bone,60.73
Bone,78.14
Bone,14.5
Bone,34.6
Bone,57.51
Bone,25.7
Bone,37.93
Bone,0
Bone,0
Bone,59.92
Bone,32.58
Bone,94.13
Fur,47.85
Fur,23.43
Fur,36.46
Fur,44.37
Fur,33.4
Fur,28.76
Fur,62.08
Fur,51.09
Fur,0
Fur,55.31
Fur,32.88
Fur,26.98
Fur,57.92
Fur,39.27
Fur,20.33
Fur,62.84
Fur,40.72
Fur,34.47
Fur,16.97
Fur,56.58
Fur,0
Fur,0.77
Fur,38.9
Fur,34.07
Fur,0
Insect,0.29
Insect,0.54
Insect,0
Insect,1.66
Insect,0.4
Insect,0
Insect,0.25
Insect,0
Insect,12.93
Insect,0
Insect,5.85
Insect,1.39
Insect,0
Insect,0
Insect,1.52
Insect,17.7
Insect,3.76
Insect,1.36
Insect,0
Insect,0
Insect,17.47
Insect,8.72
Insect,0
Insect,0.81
Insect,0.38
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,22.57
Snail,0
Snail,0
Snail,0
Snail,0
Snail,0
Snail,20.41
Snail,6.67
Snail,0
Snail,5.49
Snail,13.92
Snail,0
Snail,0
Snail,0
Snail,0
Seed,0.18
Seed,0
Seed,5.57
Seed,0
Seed,0
Seed,0
Seed,0
Seed,0
Seed,87.07
Seed,0
Seed,3.15
Seed,28.54
Seed,0.98
Seed,0
Seed,0
Seed,4.96
Seed,0.5
Seed,0
Seed,53.47
Seed,0
Seed,58.92
Seed,90.51
Seed,1.18
Seed,32.54
Seed,0
Trash,0
Trash,12.56
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0.98
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Trash,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,6.6
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,2.87
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Feathers,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,0
Scales,9.69
Scales,0
Scales,0
Scales,0
Scales,5.49
